review_id,run_id,N,true_K,confidence,stop_n_bayes,true_recall_bayes,stop_n_baseline,true_recall_baseline
4,86,1630,9,0.9,1613,1.0,1576,1.0
4,86,1630,9,0.95,1622,1.0,1603,1.0
4,86,1630,9,0.99,1629,1.0,1625,1.0
4,12,1630,9,0.9,1613,1.0,1593,1.0
4,12,1630,9,0.95,1622,1.0,1612,1.0
4,12,1630,9,0.99,1629,1.0,1627,1.0
4,75,1630,9,0.9,1613,1.0,1602,1.0
4,75,1630,9,0.95,1622,1.0,1616,1.0
4,75,1630,9,0.99,1629,1.0,1628,1.0
4,28,1630,9,0.9,1613,1.0,1610,1.0
4,28,1630,9,0.95,1622,1.0,1620,1.0
4,28,1630,9,0.99,1629,1.0,1629,1.0
4,10,1630,9,0.9,1613,1.0,1595,1.0
4,10,1630,9,0.95,1622,1.0,1613,1.0
4,10,1630,9,0.99,1629,1.0,1627,1.0
4,70,1630,9,0.9,1613,1.0,1613,1.0
4,70,1630,9,0.95,1622,1.0,1622,1.0
4,70,1630,9,0.99,1629,1.0,1629,1.0
4,37,1630,9,0.9,1613,1.0,1593,1.0
4,37,1630,9,0.95,1622,1.0,1612,1.0
4,37,1630,9,0.99,1629,1.0,1627,1.0
4,80,1630,9,0.9,1613,1.0,1584,1.0
4,80,1630,9,0.95,1622,1.0,1607,1.0
4,80,1630,9,0.99,1629,1.0,1626,1.0
4,29,1630,9,0.9,1609,0.7777777777777778,1602,0.7777777777777778
4,29,1630,9,0.95,1621,0.8888888888888888,1619,0.8888888888888888
4,29,1630,9,0.99,1629,1.0,1629,1.0
4,8,1630,9,0.9,1613,1.0,1584,0.8888888888888888
4,8,1630,9,0.95,1622,1.0,1619,1.0
4,8,1630,9,0.99,1629,1.0,1628,1.0
4,34,1630,9,0.9,1613,1.0,1604,1.0
4,34,1630,9,0.95,1622,1.0,1617,1.0
4,34,1630,9,0.99,1629,1.0,1628,1.0
4,95,1630,9,0.9,1613,1.0,1596,1.0
4,95,1630,9,0.95,1622,1.0,1613,1.0
4,95,1630,9,0.99,1629,1.0,1627,1.0
4,71,1630,9,0.9,1613,1.0,1588,1.0
4,71,1630,9,0.95,1622,1.0,1609,1.0
4,71,1630,9,0.99,1629,1.0,1626,1.0
4,30,1630,9,0.9,1613,1.0,1613,1.0
4,30,1630,9,0.95,1622,1.0,1622,1.0
4,30,1630,9,0.99,1629,1.0,1629,1.0
4,23,1630,9,0.9,1613,1.0,1583,1.0
4,23,1630,9,0.95,1622,1.0,1607,1.0
4,23,1630,9,0.99,1629,1.0,1626,1.0
4,83,1630,9,0.9,1613,1.0,1573,1.0
4,83,1630,9,0.95,1622,1.0,1602,1.0
4,83,1630,9,0.99,1629,1.0,1625,1.0
4,79,1630,9,0.9,1613,1.0,1584,1.0
4,79,1630,9,0.95,1622,1.0,1607,1.0
4,79,1630,9,0.99,1629,1.0,1626,1.0
4,82,1630,9,0.9,1613,1.0,1604,1.0
4,82,1630,9,0.95,1622,1.0,1617,1.0
4,82,1630,9,0.99,1629,1.0,1628,1.0
4,33,1630,9,0.9,1613,1.0,1584,1.0
4,33,1630,9,0.95,1622,1.0,1607,1.0
4,33,1630,9,0.99,1629,1.0,1626,1.0
4,5,1630,9,0.9,1613,1.0,1595,1.0
4,5,1630,9,0.95,1622,1.0,1613,1.0
4,5,1630,9,0.99,1629,1.0,1627,1.0
4,100,1630,9,0.9,1613,1.0,1584,1.0
4,100,1630,9,0.95,1622,1.0,1607,1.0
4,100,1630,9,0.99,1629,1.0,1626,1.0
4,92,1630,9,0.9,1613,1.0,1570,1.0
4,92,1630,9,0.95,1622,1.0,1600,1.0
4,92,1630,9,0.99,1629,1.0,1624,1.0
4,38,1630,9,0.9,1613,1.0,1613,1.0
4,38,1630,9,0.95,1622,1.0,1622,1.0
4,38,1630,9,0.99,1629,1.0,1629,1.0
4,9,1630,9,0.9,1613,1.0,1580,1.0
4,9,1630,9,0.95,1622,1.0,1605,1.0
4,9,1630,9,0.99,1629,1.0,1625,1.0
4,55,1630,9,0.9,1613,1.0,1589,1.0
4,55,1630,9,0.95,1622,1.0,1610,1.0
4,55,1630,9,0.99,1629,1.0,1626,1.0
4,11,1630,9,0.9,1613,1.0,1592,1.0
