review_id,run_id,N,true_K,confidence,stop_n_bayes,true_recall_bayes,stop_n_baseline,true_recall_baseline
5,92,258,15,0.9,257,1.0,242,1.0
5,92,258,15,0.95,258,1.0,250,1.0
5,92,258,15,0.99,258,1.0,257,1.0
5,14,258,15,0.9,257,1.0,246,1.0
5,14,258,15,0.95,258,1.0,252,1.0
5,14,258,15,0.99,258,1.0,257,1.0
5,19,258,15,0.9,257,1.0,246,1.0
5,19,258,15,0.95,258,1.0,252,1.0
5,19,258,15,0.99,258,1.0,257,1.0
5,77,258,15,0.9,257,1.0,240,1.0
5,77,258,15,0.95,258,1.0,249,1.0
5,77,258,15,0.99,258,1.0,257,1.0
5,58,258,15,0.9,257,1.0,253,1.0
5,58,258,15,0.95,258,1.0,256,1.0
5,58,258,15,0.99,258,1.0,258,1.0
5,61,258,15,0.9,257,1.0,255,1.0
5,61,258,15,0.95,258,1.0,257,1.0
5,61,258,15,0.99,258,1.0,258,1.0
5,64,258,15,0.9,257,1.0,240,1.0
5,64,258,15,0.95,258,1.0,249,1.0
5,64,258,15,0.99,258,1.0,257,1.0
5,95,258,15,0.9,257,1.0,257,1.0
5,95,258,15,0.95,258,1.0,258,1.0
5,95,258,15,0.99,258,1.0,258,1.0
5,75,258,15,0.9,257,1.0,253,1.0
5,75,258,15,0.95,258,1.0,256,1.0
5,75,258,15,0.99,258,1.0,258,1.0
5,6,258,15,0.9,257,1.0,242,1.0
5,6,258,15,0.95,258,1.0,250,1.0
5,6,258,15,0.99,258,1.0,257,1.0
5,10,258,15,0.9,257,1.0,243,1.0
5,10,258,15,0.95,258,1.0,251,1.0
5,10,258,15,0.99,258,1.0,257,1.0
5,1,258,15,0.9,257,1.0,252,1.0
5,1,258,15,0.95,258,1.0,255,1.0
5,1,258,15,0.99,258,1.0,258,1.0
5,27,258,15,0.9,257,1.0,255,1.0
5,27,258,15,0.95,258,1.0,257,1.0
5,27,258,15,0.99,258,1.0,258,1.0
5,96,258,15,0.9,257,1.0,240,1.0
5,96,258,15,0.95,258,1.0,249,1.0
5,96,258,15,0.99,258,1.0,257,1.0
5,21,258,15,0.9,257,1.0,252,1.0
5,21,258,15,0.95,258,1.0,255,1.0
5,21,258,15,0.99,258,1.0,258,1.0
5,34,258,15,0.9,257,1.0,241,1.0
5,34,258,15,0.95,258,1.0,250,1.0
5,34,258,15,0.99,258,1.0,257,1.0
5,70,258,15,0.9,257,1.0,256,1.0
5,70,258,15,0.95,258,1.0,257,1.0
5,70,258,15,0.99,258,1.0,258,1.0
5,100,258,15,0.9,257,1.0,241,1.0
5,100,258,15,0.95,258,1.0,250,1.0
5,100,258,15,0.99,258,1.0,257,1.0
5,55,258,15,0.9,257,1.0,241,1.0
5,55,258,15,0.95,258,1.0,250,1.0
5,55,258,15,0.99,258,1.0,257,1.0
5,36,258,15,0.9,257,1.0,252,1.0
5,36,258,15,0.95,258,1.0,255,1.0
5,36,258,15,0.99,258,1.0,258,1.0
5,2,258,15,0.9,257,1.0,256,1.0
5,2,258,15,0.95,258,1.0,257,1.0
5,2,258,15,0.99,258,1.0,258,1.0
5,16,258,15,0.9,257,1.0,256,1.0
5,16,258,15,0.95,258,1.0,257,1.0
5,16,258,15,0.99,258,1.0,258,1.0
5,37,258,15,0.9,257,1.0,254,1.0
5,37,258,15,0.95,258,1.0,256,1.0
5,37,258,15,0.99,258,1.0,258,1.0
5,57,258,15,0.9,257,1.0,256,1.0
5,57,258,15,0.95,258,1.0,257,1.0
5,57,258,15,0.99,258,1.0,258,1.0
5,82,258,15,0.9,257,1.0,242,1.0
5,82,258,15,0.95,258,1.0,250,1.0
5,82,258,15,0.99,258,1.0,257,1.0
5,90,258,15,0.9,257,1.0,243,1.0
5,90,258,15,0.95,258,1.0,250,1.0
5,90,258,15,0.99,258,1.0,257,1.0
5,31,258,15,0.9,257,1.0,254,1.0
5,31,258,15,0.95,258,1.0,256,1.0
5,31,258,15,0.99,258,1.0,258,1.0
5,62,258,15,0.9,257,1.0,255,1.0
5,62,258,15,0.95,258,1.0,257,1.0
5,62,258,15,0.99,258,1.0,258,1.0
5,94,258,15,0.9,257,1.0,255,1.0
5,94,258,15,0.95,258,1.0,257,1.0
5,94,258,15,0.99,258,1.0,258,1.0
5,53,258,15,0.9,257,1.0,252,1.0
5,53,258,15,0.95,258,1.0,255,1.0
5,53,258,15,0.99,258,1.0,258,1.0
5,24,258,15,0.9,257,1.0,241,1.0
5,24,258,15,0.95,258,1.0,250,1.0
5,24,258,15,0.99,258,1.0,257,1.0
5,80,258,15,0.9,257,1.0,252,1.0
5,80,258,15,0.95,258,1.0,255,1.0
5,80,258,15,0.99,258,1.0,258,1.0
5,59,258,15,0.9,257,1.0,245,1.0
5,59,258,15,0.95,258,1.0,252,1.0
5,59,258,15,0.99,258,1.0,257,1.0
5,48,258,15,0.9,257,1.0,242,1.0
5,48,258,15,0.95,258,1.0,250,1.0
5,48,258,15,0.99,258,1.0,257,1.0
5,89,258,15,0.9,257,1.0,255,1.0
5,89,258,15,0.95,258,1.0,256,1.0
5,89,258,15,0.99,258,1.0,258,1.0
5,65,258,15,0.9,257,1.0,253,1.0
5,65,258,15,0.95,258,1.0,256,1.0
5,65,258,15,0.99,258,1.0,258,1.0
5,11,258,15,0.9,257,1.0,255,1.0
5,11,258,15,0.95,258,1.0,256,1.0
5,11,258,15,0.99,258,1.0,258,1.0
5,17,258,15,0.9,257,1.0,244,1.0
5,17,258,15,0.95,258,1.0,251,1.0
5,17,258,15,0.99,258,1.0,257,1.0
5,4,258,15,0.9,257,1.0,242,1.0
5,4,258,15,0.95,258,1.0,250,1.0
5,4,258,15,0.99,258,1.0,257,1.0
5,78,258,15,0.9,257,1.0,253,1.0
5,78,258,15,0.95,258,1.0,256,1.0
5,78,258,15,0.99,258,1.0,258,1.0
5,76,258,15,0.9,257,1.0,255,1.0
5,76,258,15,0.95,258,1.0,257,1.0
5,76,258,15,0.99,258,1.0,258,1.0
5,26,258,15,0.9,257,1.0,254,1.0
5,26,258,15,0.95,258,1.0,256,1.0
5,26,258,15,0.99,258,1.0,258,1.0
5,74,258,15,0.9,257,1.0,240,1.0
5,74,258,15,0.95,258,1.0,249,1.0
5,74,258,15,0.99,258,1.0,257,1.0
5,50,258,15,0.9,257,1.0,241,1.0
5,50,258,15,0.95,258,1.0,250,1.0
5,50,258,15,0.99,258,1.0,257,1.0
5,71,258,15,0.9,257,1.0,254,1.0
5,71,258,15,0.95,258,1.0,256,1.0
5,71,258,15,0.99,258,1.0,258,1.0
5,46,258,15,0.9,257,1.0,242,1.0
5,46,258,15,0.95,258,1.0,250,1.0
5,46,258,15,0.99,258,1.0,257,1.0
5,47,258,15,0.9,257,1.0,240,1.0
5,47,258,15,0.95,258,1.0,249,1.0
5,47,258,15,0.99,258,1.0,257,1.0
5,39,258,15,0.9,257,1.0,242,1.0
5,39,258,15,0.95,258,1.0,250,1.0
5,39,258,15,0.99,258,1.0,257,1.0
5,44,258,15,0.9,257,1.0,241,1.0
5,44,258,15,0.95,258,1.0,250,1.0
5,44,258,15,0.99,258,1.0,257,1.0
5,67,258,15,0.9,257,1.0,240,1.0
5,67,258,15,0.95,258,1.0,249,1.0
5,67,258,15,0.99,258,1.0,257,1.0
5,79,258,15,0.9,257,1.0,240,1.0
5,79,258,15,0.95,258,1.0,249,1.0
5,79,258,15,0.99,258,1.0,257,1.0
5,91,258,15,0.9,257,1.0,255,1.0
5,91,258,15,0.95,258,1.0,257,1.0
5,91,258,15,0.99,258,1.0,258,1.0
5,93,258,15,0.9,257,1.0,240,1.0
5,93,258,15,0.95,258,1.0,249,1.0
5,93,258,15,0.99,258,1.0,257,1.0
5,54,258,15,0.9,257,1.0,254,1.0
5,54,258,15,0.95,258,1.0,256,1.0
5,54,258,15,0.99,258,1.0,258,1.0
5,23,258,15,0.9,257,1.0,253,1.0
5,23,258,15,0.95,258,1.0,256,1.0
5,23,258,15,0.99,258,1.0,258,1.0
5,8,258,15,0.9,257,1.0,253,1.0
5,8,258,15,0.95,258,1.0,256,1.0
5,8,258,15,0.99,258,1.0,258,1.0
5,83,258,15,0.9,257,1.0,240,1.0
5,83,258,15,0.95,258,1.0,249,1.0
5,83,258,15,0.99,258,1.0,257,1.0
5,20,258,15,0.9,257,1.0,255,1.0
5,20,258,15,0.95,258,1.0,257,1.0
