confidence,miss_rate_bayes,miss_rate_baseline,mean_work_saved_bayes,mean_work_saved_baseline,mean_additional,median_additional
0.9,0.015,0.051,0.01906066368092725,0.20823541541769233,-0.18917475173676507,-0.08293186510667583
0.95,0.009,0.023,0.014918466453414304,0.17613268689387873,-0.16121422044046443,-0.04146593255333797
0.99,0.001,0.002,0.010025013436193839,0.12015569730860735,-0.11013068387241352,-0.011326778505801993
