review_id,run_id,N,true_K,confidence,stop_n_bayes,true_recall_bayes,stop_n_baseline,true_recall_baseline
8,78,5812,17,0.9,5779,1.0,5329,1.0
8,78,5812,17,0.95,5796,1.0,5571,1.0
8,78,5812,17,0.99,5809,1.0,5764,1.0
8,87,5812,17,0.9,5779,1.0,5333,1.0
8,87,5812,17,0.95,5796,1.0,5573,1.0
8,87,5812,17,0.99,5809,1.0,5765,1.0
8,46,5812,17,0.9,5779,1.0,5328,1.0
8,46,5812,17,0.95,5796,1.0,5570,1.0
8,46,5812,17,0.99,5809,1.0,5764,1.0
8,47,5812,17,0.9,5779,1.0,5336,1.0
8,47,5812,17,0.95,5796,1.0,5574,1.0
8,47,5812,17,0.99,5809,1.0,5765,1.0
8,76,5812,17,0.9,5779,1.0,5300,1.0
8,76,5812,17,0.95,5796,1.0,5556,1.0
8,76,5812,17,0.99,5809,1.0,5761,1.0
8,12,5812,17,0.9,5779,1.0,5330,1.0
8,12,5812,17,0.95,5796,1.0,5571,1.0
8,12,5812,17,0.99,5809,1.0,5764,1.0
8,74,5812,17,0.9,5779,1.0,5298,1.0
8,74,5812,17,0.95,5796,1.0,5555,1.0
8,74,5812,17,0.99,5809,1.0,5761,1.0
8,4,5812,17,0.9,5779,1.0,5295,1.0
8,4,5812,17,0.95,5796,1.0,5554,1.0
8,4,5812,17,0.99,5809,1.0,5761,1.0
8,1,5812,17,0.9,5779,1.0,5298,1.0
8,1,5812,17,0.95,5796,1.0,5555,1.0
8,1,5812,17,0.99,5809,1.0,5761,1.0
8,56,5812,17,0.9,5779,1.0,5299,1.0
8,56,5812,17,0.95,5796,1.0,5556,1.0
8,56,5812,17,0.99,5809,1.0,5761,1.0
8,50,5812,17,0.9,5779,1.0,5340,1.0
8,50,5812,17,0.95,5796,1.0,5576,1.0
8,50,5812,17,0.99,5809,1.0,5765,1.0
8,75,5812,17,0.9,5779,1.0,5304,1.0
8,75,5812,17,0.95,5796,1.0,5558,1.0
8,75,5812,17,0.99,5809,1.0,5762,1.0
8,80,5812,17,0.9,5779,1.0,5388,1.0
8,80,5812,17,0.95,5796,1.0,5600,1.0
8,80,5812,17,0.99,5809,1.0,5770,1.0
8,67,5812,17,0.9,5779,1.0,5298,1.0
8,67,5812,17,0.95,5796,1.0,5555,1.0
8,67,5812,17,0.99,5809,1.0,5761,1.0
8,55,5812,17,0.9,5779,1.0,5297,1.0
8,55,5812,17,0.95,5796,1.0,5555,1.0
8,55,5812,17,0.99,5809,1.0,5761,1.0
8,73,5812,17,0.9,5779,1.0,5307,1.0
8,73,5812,17,0.95,5796,1.0,5560,1.0
8,73,5812,17,0.99,5809,1.0,5762,1.0
8,49,5812,17,0.9,5779,1.0,5301,1.0
8,49,5812,17,0.95,5796,1.0,5557,1.0
8,49,5812,17,0.99,5809,1.0,5761,1.0
8,83,5812,17,0.9,5779,1.0,5343,1.0
8,83,5812,17,0.95,5796,1.0,5578,1.0
8,83,5812,17,0.99,5809,1.0,5766,1.0
8,45,5812,17,0.9,5779,1.0,5298,1.0
8,45,5812,17,0.95,5796,1.0,5555,1.0
8,45,5812,17,0.99,5809,1.0,5761,1.0
8,57,5812,17,0.9,5779,1.0,5351,1.0
8,57,5812,17,0.95,5796,1.0,5582,1.0
8,57,5812,17,0.99,5809,1.0,5766,1.0
8,61,5812,17,0.9,5779,1.0,5296,1.0
8,61,5812,17,0.95,5796,1.0,5554,1.0
8,61,5812,17,0.99,5809,1.0,5761,1.0
8,40,5812,17,0.9,5779,1.0,5296,1.0
8,40,5812,17,0.95,5796,1.0,5554,1.0
8,40,5812,17,0.99,5809,1.0,5761,1.0
